field,total,spread,crop,grid_size,sigma,masking,height,width,drone_type,rate_kg,rate_area,field_area,area_unit,경작자
충청북도 옥천군 청산면 산 34-2,,1,rice,1,,0.5,3,5,DJI,20,300,1458.1,평,
충청북도 옥천군 청산면 산 34-3,,1,rice,1,,0.5,3,5,DJI,20,300,1114.8,평,
충청북도 옥천군 청산면 인정리 1244,,1,rice,1,,0.5,3,5,DJI,20,300,940.1,평,
충청북도 옥천군 청산면 인정리 1310,,1,rice,1,,0.5,3,5,DJI,20,300,800.4,평,
충청북도 옥천군 청산면 인정리 373,,1,rice,1,,0.5,3,5,DJI,20,300,1086.8,평,
충청북도 옥천군 청산면 장위리 424-1,,1,rice,1,,0.5,3,5,DJI,20,300,651.5,평,
충청북도 옥천군 청산면 장위리 474-1,,1,rice,1,,0.5,3,5,DJI,20,300,887.0,평,
충청북도 옥천군 청산면 장위리 476,,1,rice,1,,0.5,3,5,DJI,20,300,705.6,평,
충청북도 옥천군 청산면 장위리 659-2,,1,rice,1,,0.5,3,5,DJI,20,300,1375.2,평,
충청북도 옥천군 청산면 장위리 659-3,,1,rice,1,,0.5,3,5,DJI,20,300,408.8,평,
충청북도 옥천군 청산면 장위리 659,,1,rice,1,,0.5,3,5,DJI,20,300,356.0,평,
충청북도 옥천군 청산면 장위리 744,,1,rice,1,,0.5,3,5,DJI,20,300,1555.4,평,
충청북도 옥천군 청산면 장위리 775,,1,rice,1,,0.5,3,5,DJI,20,300,1099.3,평,
충청북도 옥천군 청산면 장위리 784,,1,rice,1,,0.5,3,5,DJI,20,300,1387.6,평,
충청북도 옥천군 청산면 장위리 790,,1,rice,1,,0.5,3,5,DJI,20,300,989.4,평,
충청북도 옥천군 청산면 장위리 800,,1,rice,1,,0.5,3,5,DJI,20,300,670.6,평,
충청북도 옥천군 청산면 장위리 815,,1,rice,1,,0.5,3,5,DJI,20,300,1038.3,평,
충청북도 옥천군 청산면 장위리 산 34,,1,rice,1,,0.5,3,5,DJI,20,300,953.0,평,
충청북도 옥천군 청산면 판수리 856,,1,rice,1,,0.5,3,5,DJI,20,300,1240.4,평,
충청북도 옥천군 청산면 효목리 418-2,,1,rice,1,,0.5,3,5,DJI,20,300,307.5,평,
충청북도 옥천군 청산면 효목리 418,,1,rice,1,,0.5,3,5,DJI,20,300,1616.2,평,
